Depth,SPT-N,%Siltstone,%Gravel,%Sand,%Fines,LL,PL,test1,test2,LL-PL,PI,test3,MC
0,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.1,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.2,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.3,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.4,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.5,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.6,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.7,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.8,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
0.9,7,,5.631686501,90.29330448,4.075009016,#N/A,#N/A,,,#N/A,#N/A,#N/A,23
1,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.1,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.2,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.3,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.4,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.5,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.6,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.7,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.8,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
1.9,14,,6.919831224,89.35503315,3.725135624,#N/A,#N/A,,,#N/A,#N/A,#N/A,20
2,21,,9.289496911,87.7151368,2.995366284,#N/A,#N/A,,,#N/A,#N/A,#N/A,14
2.1,21,,9.289496911,87.7151368,2.995366284,#N/A,#N/A,,,#N/A,#N/A,#N/A,14
2.2,21,,9.289496911,87.7151368,2.995366284,#N/A,#N/A,,,#N/A,#N/A,#N/A,14
