diameter[m],length[m],factored-axial-load[kN],allpile-lateral-load[kN],openpile-lateral-load[kN]
1.5,30,7280,185.5,175.8039452
1.5,35,9275,183,173.2743945
1.5,40,11260,180,170.7544661
1.5,45,13245,177.5,168.2314747
1.5,50,15225,174.96,165.7117733
2,30,10370,479.16,450.1814485
2,35,13045,474.86,447.1171049
2,40,15715,471,444.0564196
2,45,18380,468.29,440.9994008
2,50,21035,465.58,437.9517969
2.5,30,13785,970,908.1212252
2.5,35,17160,963.4,904.5433799
2.5,40,20520,960,900.9797916
2.5,45,23870,955.87,897.4251712
2.5,50,27210,954.59,893.8795594
