diameter[m],length[m],factored-axial-load[kN],allpile-lateral-load[kN],openpile-lateral-load[kN]
1.5,30,1090,186.8,150.9092056
1.5,35,1920,190.5,149.5770518
1.5,40,4655,179,145.0760458
1.5,45,6375,178.5,142.2322767
1.5,50,8185,172,139.2273445
2,30,2215,415,320.5102132
2,35,2760,419.5,320.7859004
2,40,7005,398.4,314.4246452
2,45,9300,398.5,310.9849922
2,50,11710,387.5,307.3333528
2.5,30,3015,820,553.7273155
2.5,35,3695,818,603.0654066
2.5,40,9750,746,594.8219097
2.5,45,12620,746,590.8619123
2.5,50,15630,731,586.6431584
