Elevation [m],Deflection [cm],Moment [kN-m],Shear [kN],Soil Reaction [kN/m]
13.1,0.0499,-5950,388,0
12.46,0.0498,-5710,390,0
11.83,0.0496,-5460,392,0
11.19,0.0493,-5210,394,0
10.55,0.0489,-4950,396,0
9.91,0.0484,-4700,398,0
9.28,0.0478,-4450,399,0
8.64,0.0471,-4190,401,0
8,0.0464,-3940,403,0
7.36,0.0455,-3680,404,0
6.73,0.0445,-3420,405,0
6.09,0.0435,-3160,407,0
5.45,0.0425,-2900,408,0
4.81,0.0413,-2640,409,0
4.18,0.0401,-2380,410,0
3.54,0.0389,-2120,411,0
2.9,0.0376,-1860,412,0
2.26,0.0363,-1600,412,0
1.63,0.0349,-1330,413,0
0.99,0.0335,-1070,413,0
0.35,0.0321,-806,414,0
-0.28,0.0307,-542,406,-23.2
-0.92,0.0293,-288,391,-25.1
-1.56,0.0278,-43.6,375,-27
-2.2,0.0264,190,357,-28.7
-2.83,0.0249,411,338,-30.4
-3.47,0.0235,621,318,-31.9
-4.11,0.0221,817,304,-10.5
-4.75,0.0207,1010,297,-10.3
-5.38,0.0193,1200,290,-10
-6.02,0.0179,1380,283,-9.8
-6.66,0.0166,1560,277,-9.56
-7.3,0.0153,1730,270,-9.3
-7.93,0.0141,1900,263,-9.04
-8.57,0.0128,2070,257,-8.77
-9.21,0.0117,2230,251,-8.49
-9.85,0.0105,2390,245,-8.21
-10.48,0.00945,2540,238,-7.92
-11.12,0.00842,2690,224,-35.4
-11.76,0.00745,2830,200,-34
-12.39,0.00654,2950,159,-94.2
-13.03,0.00569,3030,99.4,-87.9
-13.67,0.0049,3070,44.2,-81.5
-14.31,0.00418,3080,-6.91,-75.3
-14.94,0.00352,3060,-54.1,-69.1
-15.58,0.00292,3010,-97.3,-62.9
-16.22,0.00239,2940,-137,-56.9
-16.86,0.00191,2840,-172,-51
-17.49,0.0015,2720,-204,-45.1
-18.13,0.00114,2580,-232,-39.4
-18.77,0.000839,2420,-256,-33.7
-19.41,0.000586,2250,-277,-28.2
-20.04,0.00038,2070,-308,-67.1
-20.68,0.000216,1860,-349,-59
-21.32,0.0000922,1630,-382,-43.9
-21.96,0.00000173,1370,-398,-3.95
-22.59,-0.0000601,1120,-386,44
-23.23,-0.0000987,883,-353,60.5
-23.87,-0.000119,670,-313,66.4
-24.51,-0.000125,485,-270,68.1
-25.14,-0.000121,326,-227,67.1
-25.78,-0.000111,195,-185,64.1
-26.42,-0.000096,89.7,-146,59.7
-27.05,-0.0000795,8.75,-110,54.3
-27.69,-0.0000628,-50.2,-77,48.3
-28.33,-0.0000471,-89.4,-48.3,41.9
-28.97,-0.0000333,-112,-23.7,35.2
-29.6,-0.0000218,-120,-3.3,28.5
-30.24,-0.0000128,-116,12.8,21.9
-30.88,-0.00000619,-103,24.7,15.3
-31.52,-0.00000174,-84.4,31.4,5.7
-32.15,0.000000951,-63.3,32.2,-3.18
-32.79,0.00000233,-43.4,28.7,-7.93
-33.43,0.0000028,-26.7,23.1,-9.73
-34.07,0.00000272,-13.9,16.9,-9.62
-34.7,0.00000234,-5.1,11.2,-8.46
-35.34,0.00000187,0.3,6.28,-6.86
-35.98,0.0000014,2.91,2.43,-5.22
-36.62,0.000000985,3.4,0.428,-1.05
-37.25,0.000000645,3.45,-0.131,-0.699
-37.89,0.000000377,3.23,-0.488,-0.415
-38.53,0.000000175,2.83,-0.684,-0.197
-39.16,3.32E-08,2.36,-0.759,-0.0378
-39.8,-6.01E-08,1.86,-0.75,0.0696
-40.44,-0.000000115,1.4,-0.686,0.135
-41.08,-0.00000014,0.991,-0.59,0.167
-41.71,-0.000000145,0.649,-0.481,0.176
-42.35,-0.000000136,0.378,-0.371,0.168
-42.99,-0.000000119,0.175,-0.27,0.149
-43.63,-9.93E-08,0.0331,-0.183,0.126
-44.26,-7.84E-08,-0.0577,-0.11,0.101
-44.9,-5.86E-08,-0.108,-0.0538,0.0766
-45.54,-4.12E-08,-0.126,-0.0119,0.0546
-46.18,-2.63E-08,-0.123,0.0168,0.0354
-46.81,-0.000000014,-0.105,0.0342,0.0191
-47.45,-3.91E-09,-0.0791,0.042,0.0054
-48.09,4.55E-09,-0.0512,0.0418,-0.00637
-48.73,0.000000012,-0.0259,0.0343,-0.017
-49.36,1.88E-08,-0.00747,-1.2,-0.027
-50,2.55E-08,0,0,-0.0371
