p[kN/m]@2m,y[m]@2m,p[kN/m]@4m,y[m]@4m,p[kN/m]@10m,y[m]@10m,p[kN/m]@15m,y[m]@15m,p[kN/m]@25m,y[m]@25m,p[kN/m]@50m,y[m]@50m
0,0,0,0,0,0,0,0,0,0,0,0
6.2,0.003,17.2,0.003,322.6,0.003,739.5,0.003,271.1,0.002,6027.8,0.003
7.6,0.006,21.6,0.006,491.8,0.006,1127.2,0.006,383.5,0.004,12055.6,0.006
8.6,0.008,24.7,0.008,629.2,0.008,1442.3,0.008,446.7,0.006,17149,0.008
9.3,0.011,27.1,0.011,749.5,0.011,1718,0.011,487.8,0.008,20426.9,0.011
9.9,0.014,29.2,0.014,858.4,0.014,1967.6,0.014,515.9,0.01,23395,0.014
10.5,0.017,31,0.017,959,0.017,2198.3,0.017,534.7,0.012,26137.6,0.017
11,0.019,32.6,0.019,1053.3,0.019,2414.2,0.019,546.2,0.013,28705.8,0.019
11.4,0.022,34,0.022,1142.3,0.022,2618.4,0.022,551.9,0.015,31133.6,0.022
11.8,0.025,35.4,0.025,1227.2,0.025,2812.8,0.025,552.7,0.017,33444.9,0.025
12.2,0.028,36.6,0.028,1308.3,0.028,2998.9,0.028,549.4,0.019,35657.4,0.028
12.6,0.031,37.8,0.031,1386.4,0.031,3177.8,0.031,542.4,0.021,37784.8,0.031
12.9,0.033,38.9,0.033,1461.7,0.033,3350.5,0.033,532.3,0.023,39837.5,0.033
17.7,0.075,54.8,0.075,2572.6,0.075,5896.8,0.075,383.8,0.038,70114,0.075
17.7,2.075,54.8,2.075,2572.6,2.075,5896.8,2.075,235.3,0.054,70114,2.075
17.7,4.075,54.8,4.075,2572.6,4.075,5896.8,4.075,86.8,0.069,70114,4.075
17.7,6.075,54.8,6.075,2572.6,6.075,5896.8,6.075,86.8,0.768,70114,6.075
