p[kN/m]@2m,p[kN/m]@2m,p[kN/m]@4m,p[kN/m]@4m,p[kN/m]@10m,p[kN/m]@10m,p[kN/m]@15m,p[kN/m]@15m,p[kN/m]@25m,p[kN/m]@25m,p[kN/m]@50m,p[kN/m]@50m
37.622963,0.09198796,2.5762424,0.009657125,1196.9656,0.006822973,2976.8484,0.009574902,2417.202,0.044243027,40805.66,0.025298081
37.878834,0.092301734,2.5861204,0.009679808,1201.1254,0.006857784,2987.1938,0.009623754,2417.284,0.044247575,40947.473,0.025427153
38.383713,0.09291777,2.5929804,0.009695541,1205.2633,0.006892595,2997.4849,0.009672605,2423.2678,0.044580325,41088.54,0.025556225
38.659977,0.09325315,2.6204617,0.009758407,1209.3794,0.006927406,3007.7217,0.009721457,2423.4873,0.04459256,41228.863,0.025685297
38.834175,0.09346402,2.623331,0.009764956,1213.4738,0.006962217,3017.9045,0.009770309,2441.974,0.04563136,41368.445,0.02581437
39.109413,0.09379623,2.6348403,0.009791198,1217.5465,0.006997028,3028.0332,0.00981916,2445.5483,0.04583405,41507.285,0.025943441
39.244667,0.093959056,2.641405,0.009806146,1221.5974,0.007031839,3038.108,0.009868012,2461.3635,0.04673815,41645.387,0.026072513
39.80415,0.09462964,2.6480231,0.0098212,1225.6267,0.00706665,3048.1287,0.009916863,2463.636,0.04686904,41782.75,0.026201585
40.206963,0.095109545,2.7216365,0.009987687,1229.6344,0.007101461,3058.096,0.009965715,2479.8252,0.047808584,41919.375,0.026330657
40.923275,0.09595707,2.7265751,0.009998793,1233.6206,0.007136272,3068.0095,0.010014566,2483.0974,0.048,42055.266,0.02645973
41.633854,0.09679056,2.7490318,0.010049199,1237.5853,0.007171083,3077.8696,0.010063417,2488.0557,0.048291028,42190.426,0.026588801
42.39502,0.09767556,2.7760887,0.010109719,1241.5284,0.007205894,3087.6763,0.010112269,2494.1575,0.048650805,42324.855,0.026717871
42.582527,0.09789236,2.7930048,0.01014744,1245.4503,0.007240706,3097.43,0.01016112,2496.6748,0.048799757,42458.55,0.026846943
42.593628,0.09790518,2.7996113,0.010162148,1249.3507,0.007275517,3107.1301,0.010209972,2496.7695,0.048805363,42591.52,0.026976015
42.959713,0.09832703,2.8083868,0.010181663,1253.2299,0.007310328,3116.7776,0.010258824,2497.8396,0.048868787,42723.766,0.027105087
43.259262,0.098670885,2.8371434,0.010245451,1257.0878,0.007345139,3126.372,0.010307675,2502.5842,0.049150616,42855.28,0.02723416
43.991898,0.09950691,2.8726687,0.010323908,1260.9243,0.00737995,3135.9138,0.010356527,2506.849,0.049404874,42986.08,0.027363231
44.108727,0.09963958,2.8993888,0.010382672,1264.7399,0.007414761,3145.403,0.010405378,2507.4985,0.049443673,43116.152,0.027492303
44.244026,0.09979302,2.9058528,0.010396856,1268.5343,0.007449572,3154.8396,0.01045423,2509.6055,0.049569674,43245.508,0.027621375
44.570423,0.10016219,2.9128904,0.010412285,1272.3076,0.007484383,3164.2239,0.010503082,2511.4883,0.049682464,43374.145,0.027750447
45.073406,0.10072848,2.9595194,0.010514152,1276.0599,0.007519194,3173.5562,0.010551933,2512.0618,0.04971685,43502.066,0.02787952
45.23964,0.10091495,2.9619486,0.010519442,1279.7914,0.007554005,3182.8362,0.010600785,2514.8086,0.049881767,43629.273,0.028008591
45.50893,0.10121629,3.0033152,0.010609265,1283.502,0.007588816,3192.0642,0.010649636,2516.7212,0.04999681,43755.77,0.028137663
45.649494,0.101373225,3.0073848,0.010618076,1287.1917,0.007623627,3201.2405,0.010698488,2520.0273,0.050196104,43881.555,0.028266734
45.83594,0.10158103,3.0366335,0.010681265,1290.8606,0.007658439,3210.3652,0.01074734,2523.7607,0.0504218,44006.633,0.028395806
45.899746,0.10165204,3.045746,0.010700903,1294.5089,0.00769325,3219.4382,0.010796191,2528.7336,0.05072346,44131.004,0.028524878
45.97775,0.101738796,3.0916686,0.010799528,1298.1365,0.007728061,3228.46,0.010845043,2534.7803,0.05109189,44254.67,0.02865395
46.052296,0.10182163,3.1000488,0.010817464,1301.7434,0.007762872,3237.4307,0.010893893,2537.5476,0.051261112,44377.637,0.028783021
46.157673,0.10193862,3.132236,0.01088618,1305.33,0.007797683,3246.35,0.010942745,2550.3481,0.052048728,44499.902,0.028912093
46.264225,0.10205677,3.1946325,0.011018618,1308.8959,0.007832494,3255.2188,0.010991597,2559.3047,0.052604605,44621.473,0.029041165
46.976673,0.102843344,3.219458,0.011071032,1312.4415,0.007867305,3264.0366,0.011040448,2562.0938,0.052778512,44742.344,0.029170237
47.222343,0.10311319,3.2327456,0.011099021,1315.9667,0.007902117,3272.804,0.0110893,2566.079,0.053027686,44862.523,0.02929931
47.76311,0.103704736,3.256185,0.011148287,1319.4717,0.007936928,3281.5208,0.011138151,2568.5452,0.05318226,44982.008,0.029428381
47.970924,0.10393117,3.2716324,0.01118068,1322.9564,0.007971738,3290.1873,0.011187003,2590.1028,0.054546423,45100.81,0.029557453
48.2823,0.10426955,3.3724647,0.011390687,1326.421,0.008006549,3298.8037,0.011235855,2590.2017,0.054552734,45218.918,0.029686525
48.872963,0.10490845,3.3813436,0.011409062,1329.8655,0.00804136,3307.37,0.011284706,2591.8738,0.05465952,45336.344,0.029815597
49.018353,0.10506512,3.4279728,0.011505258,1333.2899,0.008076171,3315.8867,0.011333558,2597.0574,0.054991443,45453.086,0.029944668
49.050217,0.10509943,3.4496987,0.011549906,1336.6945,0.008110982,3324.3535,0.011382409,2601.9888,0.055308476,45569.15,0.03007374
49.464706,0.10554468,3.4728842,0.011597433,1340.079,0.008145793,3332.771,0.011431261,2605.861,0.05555828,45684.53,0.030202812
50.11948,0.10624428,3.4992616,0.011651354,1343.4437,0.008180605,3341.1392,0.011480113,2623.6807,0.05671758,45799.24,0.030331884
51.124077,0.10730887,3.521316,0.011696317,1346.7888,0.008215416,3349.4583,0.011528964,2632.9653,0.05732798,45913.273,0.030460956
51.253555,0.10744532,3.5292597,0.011712486,1350.114,0.008250227,3357.7283,0.011577816,2633.4016,0.05735678,46026.637,0.030590028
51.672287,0.107885435,3.532171,0.011718408,1353.4198,0.008285038,3365.9495,0.011626667,2635.0007,0.057462387,46139.332,0.0307191
52.00222,0.10823096,3.541057,0.011736472,1356.7058,0.008319849,3374.122,0.011675519,2637.487,0.057626847,46251.355,0.030848172
52.28313,0.10852429,3.5677311,0.011790592,1359.9725,0.00835466,3382.246,0.01172437,2638.2812,0.05767945,46362.72,0.030977244
52.37976,0.10862502,3.5784824,0.01181236,1363.2197,0.008389471,3390.3218,0.011773221,2638.5571,0.05769773,46473.418,0.031106316
52.97933,0.10924791,3.585435,0.011826424,1366.4475,0.008424282,3398.3494,0.011822073,2647.5515,0.058295786,46583.46,0.031235388
53.39795,0.10968074,3.5925465,0.011840799,1369.6561,0.008459093,3406.329,0.011870924,2649.2988,0.05841245,46692.844,0.03136446
54.62012,0.110934824,3.627468,0.011911228,1372.8455,0.008493905,3414.261,0.011919776,2653.6357,0.058702692,46801.57,0.03149353
54.755394,0.11107277,3.689614,0.012035917,1376.0156,0.008528716,3422.1453,0.011968628,2659.49,0.05909602,46909.645,0.031622604
55.23928,0.11156482,3.6905198,0.012037728,1379.1667,0.008563527,3429.9822,0.012017479,2666.0393,0.059538122,47017.07,0.031751674
55.534348,0.11186382,3.6914222,0.012039532,1382.299,0.008598338,3437.7717,0.012066331,2671.555,0.059912164,47123.848,0.031880748
55.95953,0.11229328,3.7399695,0.012136354,1385.4121,0.008633149,3445.5144,0.012115182,2678.106,0.060358476,47229.98,0.032009818
56.4135,0.11275002,3.7472088,0.012150751,1388.5065,0.00866796,3453.21,0.012164034,2680.227,0.06050344,47335.47,0.03213889
56.940395,0.11327786,3.7650175,0.012186119,1391.582,0.008702771,3460.859,0.012212886,2682.4756,0.060657397,47440.316,0.03226796
56.949703,0.11328716,3.8513834,0.012356736,1394.6389,0.008737582,3468.4612,0.012261737,2694.2527,0.061467998,47544.53,0.03239703
57.937828,0.11427044,3.8639052,0.012381349,1397.6771,0.008772394,3476.0173,0.012310589,2696.8171,0.061645467,47648.105,0.032526106
57.953274,0.11428575,3.8774338,0.012407907,1400.6968,0.008807205,3483.527,0.01235944,2698.1692,0.061739158,47751.047,0.032655176
58.26286,0.11459206,3.927879,0.012506621,1403.698,0.008842016,3490.9912,0.012408292,2709.157,0.0625042,47853.36,0.03278425
58.362835,0.1146908,3.9332962,0.012517192,1406.6807,0.008876827,3498.4092,0.012457144,2710.7378,0.06261479,47955.047,0.03291332
58.90919,0.11522895,3.9743803,0.012597183,1409.6451,0.008911638,3505.7817,0.012505995,2716.9143,0.06304812,48056.105,0.033042394
59.660595,0.11596502,3.9786477,0.012605474,1412.5912,0.008946449,3513.1086,0.012554847,2720.881,0.06332748,48156.543,0.033171464
59.770966,0.11607276,4.0962515,0.012832606,1415.5192,0.00898126,3520.3904,0.012603697,2725.0916,0.0636249,48256.36,0.033300538
61.148846,0.11740942,4.125308,0.012888333,1418.429,0.009016071,3527.6272,0.012652549,2726.158,0.06370038,48355.555,0.033429608
61.37156,0.11762406,4.1475673,0.012930922,1421.3208,0.009050882,3534.819,0.012701401,2726.7048,0.06373911,48454.14,0.03355868
61.65988,0.117901355,4.1651106,0.012964424,1424.1946,0.009085693,3541.9663,0.012750252,2729.7778,0.063957036,48552.11,0.03368775
62.158535,0.11837942,4.170524,0.012974752,1427.0505,0.009120504,3549.0688,0.012799104,2732.9563,0.064182974,48649.473,0.033816826
62.49091,0.11869701,4.183696,0.012999858,1429.8887,0.009155315,3556.1272,0.012847955,2734.3328,0.06428097,48746.227,0.033945896
62.499527,0.118705235,4.209947,0.013049803,1432.709,0.009190126,3563.1416,0.012896807,2737.058,0.06447533,48842.375,0.034074966
63.568398,0.11972084,4.2206035,0.013070043,1435.5117,0.009224937,3570.1118,0.012945659,2737.5789,0.06451251,48937.92,0.03420404
64.01067,0.12013858,4.2461915,0.013118563,1438.2969,0.009259748,3577.0386,0.01299451,2737.9673,0.064540245,49032.87,0.03433311
64.02217,0.12014942,4.27775,0.01317825,1441.0645,0.009294559,3583.9214,0.013043362,2743.8127,0.0649587,49127.22,0.034462184
64.39189,0.12049751,4.298649,0.013217682,1443.8147,0.00932937,3590.7612,0.013092213,2749.1082,0.06533934,49220.977,0.034591254
64.733376,0.12081812,4.3121843,0.01324318,1446.5475,0.009364181,3597.5576,0.013141065,2765.7244,0.06654345,49314.14,0.034720328
64.75174,0.12083534,4.316566,0.013251428,1449.263,0.009398993,3604.3113,0.013189917,2768.732,0.06676298,49406.715,0.034849398
64.892944,0.12096766,4.346514,0.013307715,1451.9613,0.009433804,3611.022,0.013238768,2769.42,0.06681326,49498.703,0.03497847
65.375,0.121418275,4.3530903,0.013320055,1454.6426,0.009468615,3617.6902,0.01328762,2773.6824,0.06712536,49590.11,0.03510754
66.15725,0.12214601,4.370003,0.013351757,1457.3068,0.009503426,3624.316,0.013336471,2775.4463,0.067254804,49680.934,0.035236616
66.400475,0.122371405,4.3897552,0.013388721,1459.9539,0.009538237,3630.8994,0.013385323,2781.8396,0.06772536,49771.18,0.035365686
66.68096,0.12263083,4.4105873,0.013427636,1462.5842,0.009573048,3637.441,0.013434175,2785.2021,0.06797373,49860.848,0.03549476
66.70166,0.12264995,4.4203625,0.013445873,1465.1976,0.009607859,3643.9407,0.013483025,2788.487,0.06821697,49949.945,0.03562383
66.91978,0.12285129,4.421833,0.013448615,1467.7944,0.00964267,3650.3987,0.013531877,2792.9287,0.06854677,50038.47,0.0357529
67.27206,0.12317576,4.4305363,0.013464836,1470.3745,0.009677482,3656.8154,0.013580728,2796.708,0.068828225,50126.426,0.035881974
67.37493,0.12327036,4.463785,0.013526693,1472.938,0.009712293,3663.191,0.01362958,2799.767,0.06905662,50213.82,0.036011044
68.14441,0.12397565,4.474206,0.013546042,1475.485,0.009747104,3669.5251,0.013678432,2802.648,0.069272175,50300.65,0.036140118
68.451965,0.12425645,4.5222073,0.013634951,1478.0156,0.009781915,3675.8188,0.013727283,2806.504,0.069561385,50386.918,0.036269188
69.62892,0.12532523,4.5545344,0.013694622,1480.5298,0.009816726,3682.0715,0.013776135,2807.879,0.06966471,50472.63,0.03639826
70.34434,0.1259705,4.581928,0.013745057,1483.0277,0.009851537,3688.284,0.013824986,2816.8123,0.070338525,50557.79,0.036527332
70.39487,0.12601595,4.588052,0.013756318,1485.5095,0.009886348,3694.456,0.013873838,2819.1436,0.070515074,50642.395,0.036656406
71.5372,0.1270392,4.671524,0.013909211,1487.9752,0.009921159,3700.5881,0.01392269,2823.7087,0.070861675,50726.45,0.036785476
71.68636,0.1271722,4.712075,0.013983106,1490.4248,0.00995597,3706.6804,0.013971541,2826.0122,0.07103698,50809.957,0.03691455
71.97445,0.1274287,4.714996,0.013988418,1492.8584,0.009990782,3712.733,0.014020393,2827.9856,0.07118741,50892.926,0.03704362
72.05871,0.12750362,4.732591,0.014020396,1495.2762,0.010025593,3718.7458,0.014069244,2830.1782,0.07135479,50975.348,0.03717269
72.60385,0.12798733,4.8034453,0.014148709,1497.6782,0.010060404,3724.7195,0.014118096,2836.6182,0.07184794,51057.234,0.037301764
72.74589,0.12811305,4.815945,0.014171269,1500.0645,0.010095215,3730.6543,0.014166947,2853.7903,0.07317408,51138.582,0.037430834
73.3034,0.12860538,4.830171,0.014196917,1502.435,0.010130025,3736.5498,0.014215799,2854.8328,0.07325512,51219.4,0.037559908
74.31603,0.12949488,4.858752,0.014248356,1504.79,0.010164836,3742.4067,0.014264651,2855.7786,0.073328696,51299.684,0.037688978
74.51937,0.12967277,4.865496,0.014260478,1507.1296,0.010199647,3748.2253,0.014313502,2859.1304,0.073589794,51379.44,0.037818052
74.69187,0.12982348,4.8702607,0.014269038,1509.4537,0.010234458,3754.0054,0.014362353,2860.8682,0.073725425,51458.676,0.037947122
75.124054,0.13020033,4.903708,0.014329033,1511.7626,0.01026927,3759.7473,0.014411205,2864.3943,0.074001126,51537.383,0.038076196
75.30328,0.13035628,4.9423513,0.014398152,1514.0562,0.010304081,3765.4514,0.014460056,2864.643,0.07402061,51615.574,0.038205266
75.30751,0.13035996,4.9472337,0.01440687,1516.3345,0.010338892,3771.1177,0.014508908,2869.99,0.07444008,51693.246,0.03833434
77.62772,0.13236251,4.9835873,0.014471678,1518.5978,0.010373703,3776.7466,0.014557759,2874.8682,0.07482414,51770.402,0.03846341
79.15744,0.13366655,5.065553,0.014617132,1520.8461,0.010408514,3782.338,0.014606611,2875.2268,0.074852444,51847.047,0.038592484
79.76038,0.13417707,5.0745115,0.014632975,1523.0793,0.010443325,3787.892,0.014655463,2876.6682,0.07496621,51923.184,0.038721554
80.36831,0.1346899,5.0954413,0.014669945,1525.2977,0.010478136,3793.4094,0.014704314,2876.8142,0.07497773,51998.812,0.038850624
81.004166,0.13522421,5.0985937,0.014675508,1527.5015,0.010512947,3798.89,0.014753166,2878.7366,0.075129665,52073.938,0.038979698
83.20498,0.13705765,5.102253,0.014681964,1529.6904,0.010547758,3804.3337,0.014802017,2879.0164,0.0751518,52148.56,0.039108768
83.65431,0.137429,5.1739664,0.014808129,1531.8647,0.01058257,3809.7412,0.014850869,2880.5024,0.0752694,52222.684,0.039237842
84.11623,0.13780971,5.1953897,0.014845688,1534.0244,0.010617381,3815.1125,0.01489972,2880.6912,0.075284354,52296.312,0.039366912
84.21368,0.1378899,5.1984243,0.014851003,1536.1697,0.010652192,3820.448,0.014948572,2883.516,0.0755083,52369.445,0.039495986
85.09095,0.13860969,5.2346077,0.014914288,1538.3005,0.010687003,3825.7473,0.014997424,2883.9146,0.07553992,52442.09,0.039625056
85.45904,0.13891059,5.243477,0.014929774,1540.4171,0.010721814,3831.0112,0.015046275,2892.0552,0.07618792,52514.246,0.03975413
85.980034,0.13933541,5.245864,0.01493394,1542.5194,0.010756625,3836.2395,0.015095127,2892.8423,0.07625077,52585.914,0.0398832
86.36566,0.13964902,5.3167048,0.015057252,1544.6075,0.010791436,3841.4329,0.015143978,2897.0947,0.07659094,52657.098,0.040012274
87.96621,0.14094327,5.338308,0.01509473,1546.6816,0.010826247,3846.5908,0.015192829,2897.5168,0.076624766,52727.805,0.040141344
88.63261,0.14147867,5.3780355,0.015163497,1548.7416,0.010861059,3851.714,0.015241681,2901.4114,0.076937295,52798.03,0.040270418
90.61672,0.14306106,5.389048,0.015182525,1550.7877,0.01089587,3856.8027,0.015290532,2903.5996,0.077113256,52867.785,0.040399488
91.341995,0.14363515,5.3971224,0.015196466,1552.8198,0.010930681,3861.8567,0.015339384,2907.034,0.07738998,52937.066,0.04052856
91.72569,0.14393796,5.434721,0.015261278,1554.8383,0.010965492,3866.8765,0.015388235,2908.021,0.07746963,53005.875,0.040657632
91.95562,0.14411911,5.4481215,0.015284336,1556.843,0.011000303,3871.862,0.015437087,2909.3367,0.07757589,53074.215,0.040786702
93.1122,0.14502695,5.4514837,0.015290118,1558.834,0.011035114,3876.814,0.015485939,2911.6252,0.07776096,53142.094,0.040915776
93.508,0.14533634,5.500612,0.015374444,1560.8115,0.011069925,3881.732,0.01553479,2914.315,0.07797885,53209.508,0.041044846
93.943115,0.1456757,5.5277877,0.015420965,1562.7755,0.011104736,3886.6165,0.015583642,2915.0266,0.078036554,53276.46,0.04117392
94.24116,0.14590771,5.607666,0.015557196,1564.7261,0.011139547,3891.4675,0.015632493,2917.2004,0.078213036,53342.96,0.04130299
94.431526,0.14605571,5.6256485,0.01558776,1566.6633,0.011174358,3896.2854,0.015681345,2918.4954,0.0783183,53409.004,0.041432064
95.696144,0.14703512,5.786555,0.01585959,1568.5874,0.011209169,3901.0703,0.015730197,2921.8547,0.07859179,53474.594,0.041561134
95.833466,0.14714108,5.7898827,0.015865181,1570.4982,0.01124398,3905.8225,0.015779048,2929.5046,0.079216994,53539.734,0.041690208
96.28449,0.14748858,5.808021,0.015895632,1572.3959,0.011278791,3910.542,0.0158279,2931.6755,0.079395,53604.426,0.04181928
96.44345,0.14761086,5.817707,0.015911878,1574.2805,0.011313602,3915.2292,0.015876751,2933.3179,0.079529874,53668.676,0.041948352
97.7726,0.1486294,5.823665,0.015921867,1576.1521,0.011348413,3919.884,0.015925603,2934.1956,0.079601996,53732.484,0.042077422
98.19898,0.14895469,5.8464174,0.015959972,1578.011,0.011383224,3924.5068,0.015974455,2935.6633,0.07972273,53795.85,0.042206492
98.32259,0.14904885,5.8740315,0.016006143,1579.8569,0.011418035,3929.0977,0.016023306,2937.8293,0.079901114,53858.78,0.042335566
98.93723,0.14951622,5.8770647,0.016011209,1581.6902,0.011452847,3933.657,0.016072158,2939.3264,0.080024555,53921.28,0.042464636
98.94329,0.14952083,5.9141283,0.016073036,1583.5107,0.011487658,3938.1848,0.01612101,2967.072,0.082335606,53983.344,0.04259371
99.5058,0.14994729,5.93952,0.016115305,1585.3186,0.011522469,3942.6812,0.016169861,2976.3584,0.08311898,54044.98,0.04272278
99.57545,0.15055095,6.0004535,0.016216457,1587.1141,0.01155728,3947.1462,0.016218713,2978.7751,0.08332367,54106.188,0.042851854
99.57545,0.15099955,6.009687,0.016231751,1588.8971,0.011592091,3951.5806,0.016267564,2979.5227,0.08338705,54166.97,0.042980924
99.57545,0.15108816,6.0142355,0.016239281,1590.6677,0.011626902,3955.9841,0.016316416,2985.1655,0.08386654,54227.332,0.043109998
99.57545,0.15206814,6.021008,0.016250489,1592.426,0.011661713,3960.357,0.016365267,2992.9524,0.084531225,54287.273,0.04323907
99.57545,0.1521101,6.078788,0.016345914,1594.172,0.011696524,3964.6995,0.016414119,2995.0933,0.08471458,54346.797,0.043368142
99.57545,0.15264064,6.0823293,0.016351751,1595.9059,0.011731335,3969.0115,0.01646297,2998.7637,0.08502957,54405.91,0.043497212
99.57545,0.15274054,6.122387,0.016417687,1597.6277,0.011766147,3973.2937,0.01651182,2999.8735,0.08512496,54464.605,0.043626282
99.57545,0.15289436,6.1733027,0.016501254,1599.3375,0.011800958,3977.546,0.016560672,3000.9543,0.08521793,54522.895,0.043755356
99.57545,0.1532274,6.2552366,0.016635175,1601.0354,0.011835769,3981.7686,0.016609523,3009.6838,0.08597134,54580.773,0.043884426
99.57545,0.1540151,6.3208957,0.016742004,1602.7213,0.01187058,3985.9614,0.016658375,3010.0125,0.08599979,54638.25,0.0440135
99.57545,0.15428376,6.354684,0.016796811,1604.3955,0.011905391,3990.125,0.016707227,3014.345,0.08637546,54695.324,0.04414257
99.57545,0.15577817,6.364897,0.016813355,1606.0579,0.011940202,3994.2595,0.016756078,3014.478,0.08638699,54751.996,0.044271644
99.57545,0.15628336,6.4004216,0.016870822,1607.7086,0.011975013,3998.3647,0.01680493,3014.534,0.08639186,54808.273,0.044400714
99.57545,0.15705024,6.412747,0.016890731,1609.3478,0.012009824,4002.4414,0.016853781,3016.7437,0.08658391,54864.152,0.04452979
99.57545,0.15705092,6.460814,0.016968234,1610.9753,0.012044636,4006.4893,0.016902633,3017.3643,0.08663789,54919.64,0.04465886
99.57545,0.15716797,6.495303,0.017023706,1612.5916,0.012079447,4010.5085,0.016951485,3017.8552,0.08668061,54974.74,0.044787932
99.57545,0.15761183,6.5420775,0.017098756,1614.1963,0.012114258,4014.4998,0.017000336,3021.419,0.086991176,55029.445,0.044917002
99.57545,0.16039367,6.5731006,0.017148419,1615.7898,0.012149069,4018.4626,0.017049188,3025.8533,0.08737862,55083.766,0.045046076
99.57545,0.1610327,6.7415986,0.017416586,1617.372,0.01218388,4022.3975,0.01709804,3028.1553,0.08758023,55137.707,0.045175146
99.57545,0.16104428,6.767049,0.017456864,1618.943,0.012218691,4026.3047,0.017146891,3029.4607,0.087694675,55191.266,0.045304216
99.57545,0.1611826,6.791419,0.017495378,1620.5029,0.012253501,4030.184,0.017195743,3032.15,0.0879308,55244.44,0.04543329
99.57545,0.16120546,6.798848,0.017507108,1622.0518,0.012288312,4034.0361,0.017244594,3033.056,0.08801042,55297.246,0.04556236
99.57545,0.16174906,6.823002,0.01754521,1623.5897,0.012323123,4037.8608,0.017293446,3033.6,0.0880583,55349.67,0.045691434
99.57545,0.16188604,6.8267775,0.017551162,1625.1167,0.012357935,4041.6584,0.017342297,3041.549,0.08875936,55401.73,0.045820504
99.57545,0.1624021,6.854577,0.017594942,1626.6328,0.012392746,4045.4292,0.017391149,3041.7185,0.088774346,55453.414,0.04594958
99.57545,0.1624762,6.893667,0.017656387,1628.1382,0.012427557,4049.1729,0.01744,3046.914,0.08923465,55504.734,0.04607865
99.57545,0.16323186,6.921564,0.017700156,1629.6328,0.012462368,4052.8901,0.017488852,3047.0906,0.089250326,55555.688,0.046207722
99.57545,0.16336383,6.923135,0.017702618,1631.1168,0.012497179,4056.5808,0.017537704,3055.7944,0.090025105,55606.28,0.046336792
99.57545,0.16358717,6.9330173,0.017718105,1632.5902,0.01253199,4060.2454,0.017586555,3056.6064,0.09009762,55656.51,0.046465866
99.57545,0.16403763,6.9341803,0.017719927,1634.0531,0.012566801,4063.8835,0.017635407,3059.4292,0.09034998,55706.383,0.046594936
99.57545,0.16419765,6.956145,0.017754316,1635.5056,0.012601612,4067.4958,0.017684259,3065.027,0.090851866,55755.9,0.04672401
99.57545,0.16438763,7.077955,0.01794427,1636.9478,0.012636424,4071.0823,0.01773311,3069.9243,0.091292456,55805.062,0.04685308
99.57545,0.1650006,7.231153,0.018181384,1638.3795,0.012671235,4074.643,0.017781962,3071.2478,0.09141178,55853.87,0.04698215
99.57545,0.16505745,7.3355274,0.018341819,1639.801,0.012706046,4078.1785,0.017830813,3072.0735,0.09148626,55902.332,0.047111224
99.57545,0.1652187,7.3412156,0.018350537,1641.2124,0.012740857,4081.6885,0.017879665,3072.8176,0.09155344,55950.445,0.047240295
99.57545,0.1655921,7.3521366,0.018367267,1642.6135,0.012775668,4085.1733,0.017928516,3073.279,0.09159511,55998.215,0.04736937
99.57545,0.16578394,7.370084,0.018394741,1644.0048,0.012810479,4088.633,0.017977368,3076.8828,0.09192097,56045.64,0.04749844
99.57545,0.1662682,7.4363623,0.018495976,1645.386,0.01284529,4092.068,0.01802622,3082.8203,0.09245954,56092.727,0.047627512
99.57545,0.16641387,7.436738,0.01849655,1646.7572,0.012880101,4095.4785,0.018075071,3082.8289,0.09246032,56139.473,0.047756582
99.57545,0.16660275,7.4864607,0.018572266,1648.1185,0.012914912,4098.8643,0.018123923,3086.0415,0.09275261,56185.887,0.047885656
99.57545,0.16822793,7.4934006,0.018582819,1649.4701,0.012949724,4102.2256,0.018172774,3089.7039,0.09308658,56231.96,0.048014726
99.57545,0.16989534,7.5090327,0.018606575,1650.812,0.012984535,4105.5625,0.018221626,3090.449,0.0931546,56277.707,0.0481438
99.57545,0.1700372,7.511779,0.018610746,1652.1442,0.013019346,4108.876,0.018270476,3097.3406,0.09378552,56323.12,0.04827287
99.57545,0.17176244,7.523002,0.018627787,1653.4667,0.013054157,4112.165,0.018319327,3097.956,0.09384201,56368.207,0.048401944
99.57545,0.17179595,7.607108,0.018755182,1654.7797,0.013088968,4115.43,0.018368179,3099.4785,0.09398184,56412.97,0.048531014
99.57545,0.1718735,7.6369,0.018800177,1656.0831,0.013123779,4118.672,0.01841703,3099.746,0.09400641,56457.406,0.048660085
99.57545,0.17200647,7.646035,0.018813961,1657.3772,0.01315859,4121.89,0.018465882,3103.2627,0.09432996,56501.52,0.04878916
99.57545,0.17248118,7.751809,0.018973093,1658.6619,0.013193401,4125.0854,0.018514734,3108.1116,0.09477731,56545.316,0.04891823
99.57545,0.17349097,7.7986264,0.019043258,1659.9373,0.013228212,4128.2573,0.018563585,3111.0706,0.095051005,56588.797,0.049047302
99.57545,0.1736164,7.803474,0.019050515,1661.2034,0.013263023,4131.4062,0.018612437,3114.4065,0.0953602,56631.96,0.049176373
99.57545,0.17413974,7.859586,0.019134376,1662.4603,0.013297834,4134.532,0.018661289,3119.0547,0.095792145,56674.81,0.049305446
99.57545,0.17458339,7.8778615,0.01916164,1663.7081,0.013332645,4137.6353,0.01871014,3121.6653,0.0960353,56717.348,0.049434517
99.57545,0.17635451,7.9017386,0.019197223,1664.9469,0.013367456,4140.7163,0.018758992,3123.3909,0.096196264,56759.58,0.04956359
99.57545,0.17670222,7.902368,0.01919816,1666.1766,0.013402267,4143.7744,0.018807843,3128.5027,0.09667413,56801.5,0.04969266
99.57545,0.17690003,7.9453783,0.01926215,1667.3973,0.013437078,4146.8105,0.018856695,3128.8228,0.096704096,56843.117,0.049821734
99.57545,0.17706619,8.050989,0.019418709,1668.6093,0.013471889,4149.8247,0.018905547,3129.762,0.09679209,56884.434,0.049950805
99.57545,0.17735799,8.090654,0.019477304,1669.8123,0.0135067,4152.8164,0.018954398,3131.446,0.09695,56925.445,0.050079875
99.57545,0.17808773,8.1025095,0.019494795,1671.0066,0.013541512,4155.7866,0.01900325,3137.959,0.097562335,56966.16,0.05020895
99.57545,0.17824551,8.134083,0.019541331,1672.1921,0.013576323,4158.735,0.019052101,3139.2166,0.09768085,57006.574,0.05033802
99.57545,0.17850563,8.178245,0.019606303,1673.369,0.013611134,4161.662,0.019100953,3139.8938,0.09774473,57046.7,0.050467093
99.57545,0.1785646,8.179295,0.019607846,1674.5374,0.013645945,4164.5674,0.019149804,3142.722,0.09801178,57086.523,0.050596163
99.57545,0.17857584,8.380207,0.019901724,1675.697,0.013680756,4167.4517,0.019198656,3143.711,0.098105274,57126.062,0.050725237
99.57545,0.17873426,8.418741,0.019957776,1676.8483,0.013715567,4170.315,0.019247508,3146.4133,0.098361045,57165.31,0.050854307
99.57545,0.1790617,8.459036,0.020016282,1677.9911,0.013750378,4173.157,0.01929636,3148.549,0.0985635,57204.27,0.05098338
99.57545,0.17935282,8.496031,0.020069902,1679.1256,0.013785189,4175.9785,0.01934521,3148.6982,0.09857765,57242.94,0.05111245
