p[kN/m]@2m,p[kN/m]@2m,p[kN/m]@4m,p[kN/m]@4m,p[kN/m]@10m,p[kN/m]@10m,p[kN/m]@15m,p[kN/m]@15m,p[kN/m]@25m,p[kN/m]@25m,p[kN/m]@50m,p[kN/m]@50m
1.7460535,0.019671854,0.22247215,0.002151524,325.52792,0.001566499,809.5867,0.002198319,1492.3844,0.010261284,11097.548,0.005808233
1.7614483,0.0197588,0.22493777,0.002166111,332.60257,0.00160131,827.1813,0.002247171,1514.1718,0.010721998,11338.7295,0.005937305
1.8155026,0.020061133,0.23473543,0.002223473,339.6669,0.001636121,844.7502,0.002296022,1515.0212,0.010740236,11579.559,0.006066377
1.9127299,0.02059387,0.23602518,0.002230955,346.7207,0.001670932,862.293,0.002344874,1538.4032,0.011250447,11820.029,0.006195449
2.0729258,0.02144305,0.24565592,0.002286329,353.76382,0.001705743,879.80914,0.002393726,1553.5836,0.011590239,12060.136,0.00632452
2.097229,0.021568986,0.25388792,0.002332998,360.796,0.001740554,897.29816,0.002442577,1562.4703,0.011792311,12299.869,0.006453592
2.174554,0.021964913,0.2594188,0.002364025,367.81705,0.001775365,914.7595,0.002491429,1562.7928,0.011799688,12539.224,0.006582664
2.1855347,0.022020565,0.27036557,0.00242469,374.8268,0.001810176,932.19275,0.00254028,1564.2322,0.011832649,12778.192,0.006711736
2.200648,0.022096936,0.27125737,0.00242959,381.82504,0.001844988,949.59735,0.002589132,1590.7196,0.012450314,13016.769,0.006840808
2.2766507,0.022477098,0.30279493,0.002599059,388.81158,0.001879799,966.97284,0.002637983,1593.0607,0.01250592,13254.946,0.00696988
2.3363504,0.022771304,0.31163758,0.002645331,395.7862,0.00191461,984.31866,0.002686835,1593.7562,0.012522474,13492.718,0.007098951
2.349217,0.02283422,0.31238478,0.002649217,402.74875,0.001949421,1001.63446,0.002735686,1608.4385,0.012875335,13730.077,0.007228023
2.4674253,0.023404405,0.31464627,0.002660958,409.69897,0.001984232,1018.91974,0.002784538,1646.6797,0.01382553,13967.018,0.007357095
2.5573802,0.023829252,0.31956658,0.002686391,416.63675,0.002019043,1036.174,0.002833389,1651.5195,0.013949036,14203.532,0.007486167
2.6275723,0.024155622,0.32009104,0.002689093,423.56186,0.002053854,1053.3966,0.002882241,1653.6094,0.014002592,14439.615,0.007615239
2.853067,0.025175747,0.32473525,0.002712945,430.47412,0.002088665,1070.5874,0.002931092,1662.2751,0.014226144,14675.261,0.007744311
3.1724982,0.026554447,0.32476476,0.002713096,437.37335,0.002123476,1087.7457,0.002979944,1663.1649,0.014249231,14910.462,0.007873382
3.3738217,0.027388075,0.325477,0.002716742,444.25937,0.002158287,1104.8712,0.003028796,1664.0714,0.014272779,15145.212,0.008002454
3.397232,0.027483385,0.33606488,0.002770585,451.13196,0.002193098,1121.9634,0.003077647,1687.4064,0.014887951,15379.506,0.008131526
3.5414035,0.028063284,0.36146262,0.002897132,457.99097,0.002227909,1139.0217,0.003126499,1691.1083,0.014987148,15613.336,0.008260598
3.6709576,0.028574444,0.36438173,0.002911453,464.83624,0.00226272,1156.0459,0.00317535,1699.5573,0.015215202,15846.697,0.00838967
3.7700257,0.02895929,0.3770305,0.002973001,471.66754,0.002297532,1173.0353,0.003224202,1712.9413,0.015581205,16079.583,0.008518742
3.8258996,0.029174123,0.38939574,0.003032402,478.48477,0.002332343,1189.9896,0.003273053,1726.3245,0.015953034,16311.988,0.008647813
4.0984974,0.030200548,0.3951833,0.003059953,485.2877,0.002367154,1206.9084,0.003321905,1728,0.016,16543.906,0.008776885
4.20269,0.030583855,0.39735082,0.003070231,492.07614,0.002401965,1223.7914,0.003370756,1728.0969,0.01600272,16775.33,0.008905957
4.277732,0.030857,0.4248795,0.003198936,498.84995,0.002436776,1240.6378,0.003419608,1736.95,0.016252443,17006.256,0.009035029
4.8060365,0.032716088,0.44166228,0.003275817,505.60898,0.002471587,1257.4475,0.00346846,1738.7682,0.016304053,17236.678,0.009164101
4.9189963,0.03310017,0.4427253,0.003280649,512.353,0.002506398,1274.22,0.003517311,1751.8872,0.016679687,17466.588,0.009293173
5.0235996,0.03345194,0.4504057,0.003315422,519.082,0.002541209,1290.9547,0.003566163,1768.8363,0.017173512,17695.984,0.009422245
5.3913083,0.034660455,0.47817576,0.003439284,525.7956,0.00257602,1307.6515,0.003615014,1769.9626,0.01720667,17924.857,0.009551317
5.6071286,0.035350714,0.4831652,0.00346124,532.4937,0.002610831,1324.3097,0.003663866,1770.4644,0.017221455,18153.203,0.009680389
5.9266095,0.03634868,0.4976404,0.003524446,539.1763,0.002645643,1340.9292,0.003712717,1773.9508,0.017324427,18381.018,0.009809461
5.933058,0.03636854,0.5050347,0.003556459,545.843,0.002680454,1357.5094,0.003761569,1780.2433,0.017511316,18608.293,0.009938533
6.029428,0.03666413,0.53443927,0.003682007,552.49384,0.002715265,1374.0499,0.00381042,1781.5154,0.017549261,18835.025,0.010067605
6.0862904,0.036837436,0.5371323,0.003693371,559.12854,0.002750076,1390.5504,0.003859272,1796.9961,0.018015463,19061.209,0.010196676
6.1573324,0.037052833,0.56792784,0.003821781,565.747,0.002784887,1407.0106,0.003908123,1810.6012,0.018431969,19286.84,0.010325748
6.440501,0.03789934,0.5794746,0.003869231,572.3491,0.002819698,1423.4299,0.003956975,1814.0541,0.018538691,19511.91,0.01045482
6.4414444,0.037902128,0.5933527,0.003925778,578.93463,0.002854509,1439.8081,0.004005827,1836.055,0.019228442,19736.416,0.010583892
6.4817324,0.03802104,0.59637785,0.003938037,585.5035,0.00288932,1456.1448,0.004054678,1852.5275,0.019755978,19960.354,0.010712964
6.7210183,0.038719844,0.61011744,0.00399341,592.0554,0.002924131,1472.4395,0.00410353,1854.2869,0.019812888,20183.717,0.010842036
6.752982,0.03881225,0.6203252,0.004034238,598.59045,0.002958942,1488.692,0.004152381,1855.123,0.019839974,20406.502,0.010971107
6.950605,0.03937878,0.6299086,0.004072333,605.10834,0.002993753,1504.9019,0.004201233,1864.4891,0.020145072,20628.701,0.011100179
7.0859323,0.039762113,0.6316224,0.004079121,611.6089,0.003028564,1521.0688,0.004250084,1866.3009,0.02020445,20850.312,0.011229251
7.1727924,0.040006243,0.66194177,0.004198069,618.0921,0.003063375,1537.1925,0.004298936,1869.9242,0.02032355,21071.33,0.011358323
