p[kN/m]@6m,y[m]@6m,p[kN/m]@11m,y[m]@11m,p[kN/m]@16m,y[m]@16m,p[kN/m]@24m,y[m]@24m,p[kN/m]@40m,y[m]@40m,p[kN/m]@49m,y[m]@49m
123.613365,0.25398627,123.613365,0.33249912,123.613365,0.14475644,820.79926,0.23334265,7910.8906,0.011363597,18126.277,0.02125509
123.613365,0.25414544,123.613365,0.33416763,123.613365,0.14489922,821.09717,0.2335994,7917.023,0.011393659,18140.328,0.02131132
123.613365,0.25468808,123.613365,0.33578047,123.613365,0.1449413,821.30035,0.23377462,7923.1104,0.011423722,18154.275,0.021367552
123.613365,0.2550701,123.613365,0.33678892,123.613365,0.14543402,821.3934,0.23385483,7929.154,0.011453784,18168.123,0.021423781
123.613365,0.2550818,123.613365,0.3373081,123.613365,0.14655714,822.48834,0.23480079,7935.1533,0.011483846,18181.871,0.021480013
123.613365,0.255381,123.613365,0.33819956,123.613365,0.14656422,822.82385,0.23509115,7941.1094,0.011513909,18195.518,0.021536242
123.613365,0.2557146,123.613365,0.3432582,123.613365,0.1469132,824.36456,0.23642765,7947.022,0.011543972,18209.064,0.021592474
123.613365,0.25600088,123.613365,0.34405392,123.613365,0.14708649,830.79114,0.24205725,7952.8916,0.011574034,18222.514,0.021648703
123.613365,0.2562587,123.613365,0.34424326,123.613365,0.14759994,830.84875,0.2421081,7958.7188,0.011604096,18235.865,0.021704935
123.613365,0.25781658,123.613365,0.3450068,123.613365,0.14835075,830.9818,0.24222563,7964.503,0.011634159,18249.12,0.021761164
123.613365,0.25835124,123.613365,0.34525836,123.613365,0.14842784,831.5187,0.24270016,7970.245,0.011664221,18262.277,0.021817395
123.613365,0.26078388,123.613365,0.34551752,123.613365,0.14899877,831.5986,0.24277079,7975.946,0.011694283,18275.338,0.021873625
123.613365,0.2611584,123.613365,0.3466778,123.613365,0.14926222,832.0509,0.24317122,7981.6045,0.011724346,18288.305,0.021929856
123.613365,0.2621692,123.613365,0.34685215,123.613365,0.14934894,833.14624,0.24414253,7987.222,0.011754409,18301.176,0.021986086
123.613365,0.2624449,123.613365,0.34721747,123.613365,0.1495875,834.2196,0.24509695,7992.7983,0.011784471,18313.953,0.022042317
123.613365,0.26271206,123.613365,0.3535812,123.613365,0.14986984,835.9793,0.24666698,7998.334,0.011814533,18326.637,0.022098547
123.613365,0.26306084,123.613365,0.35386318,123.613365,0.14988364,836.48334,0.24711794,8003.829,0.011844596,18339.229,0.022154776
123.613365,0.2630798,123.613365,0.35547695,123.613365,0.15023114,836.6816,0.24729545,8009.2837,0.011874658,18351.727,0.022211008
123.613365,0.26433071,123.613365,0.35566828,123.613365,0.15037765,837.67346,0.24818489,8014.6987,0.01190472,18364.133,0.022267237
