Elevation [m],N [kN],V [kN],M [kNm]
13.1,-11710.0,307.3280268488452,5028.157167634694
12.615,-11710.0,307.3280268488452,4879.1030746130045
12.615,-11710.0,308.73133409861475,4879.069378043059
12.13,-11710.0,308.73133409861475,4729.334681005232
12.13,-11710.000000000233,310.0925650978461,4729.303081299411
11.644,-11710.000000000233,310.0925650978461,4578.598094661857
11.644,-11710.000000001164,311.41120224725455,4578.561790805776
11.159,-11710.000000001164,311.41120224725455,4427.527357715858
11.159,-11710.000000000698,312.68462867010385,4427.493221574696
10.674,-11710.000000000698,312.68462867010385,4275.841176669695
10.674,-11710.000000001397,313.91442757472396,4275.806903610006
10.189,-11710.000000001397,313.91442757472396,4123.558406236265
10.189,-11710.000000001164,315.1004273723811,4123.524001039797
9.704,-11710.000000001164,315.1004273723811,3970.700293764193
9.704,-11710.000000001863,316.2424625866115,3970.6657612310955
9.219,-11710.000000001863,316.2424625866115,3817.2881668765885
9.219,-11710.000000002095,317.3403076468967,3817.255311745568
8.733,-11710.000000002095,317.3403076468967,3663.0279222291765
8.733,-11710.000000002095,318.39613529946655,3662.991286613862
8.248,-11710.000000002095,318.39613529946655,3508.5691609936202
8.248,-11710.000000002328,319.4052537791431,3508.534275200567
7.763,-11710.000000002328,319.4052537791431,3353.622727117683
7.763,-11710.000000002328,320.3698070431128,3353.587733370485
7.278,-11710.000000002328,320.3698070431128,3198.2083769545748
7.278,-11710.000000002328,321.2896605115384,3198.173280136194
6.793,-11710.000000002328,321.2896605115384,3042.3477947880983
6.793,-11710.000000002095,322.16386041324586,3042.3140192590654
6.307,-11710.000000002095,322.16386041324586,2885.742383098228
6.307,-11710.000000002328,322.9964265394956,2885.705611569807
5.822,-11710.000000002328,322.9964265394956,2729.0523446981515
5.822,-11710.000000002095,323.78134280396625,2729.016967923846
5.337,-11710.000000002095,323.78134280396625,2571.983016663922
5.337,-11710.000000001863,324.52108327578753,2571.9475564958993
4.852,-11710.000000001863,324.52108327578753,2414.5548311071425
4.852,-11710.000000002095,325.21554474160075,2414.519292492536
4.367,-11710.000000002095,325.21554474160075,2256.7897532928596
4.367,-11710.000000001863,325.86316591128707,2256.7551752377767
3.881,-11710.000000001863,325.86316591128707,2098.385676604891
3.881,-11710.000000002095,326.4694475294091,2098.3488974912325
3.396,-11710.000000002095,326.4694475294091,1940.0112154394692
3.396,-11710.000000002095,327.0274222414009,1939.9754711510614
2.911,-11710.000000002095,327.0274222414009,1781.367171363982
2.911,-11710.000000001863,327.53976824879646,1781.3313685326139
2.426,-11710.000000001863,327.53976824879646,1622.4745809319477
2.426,-11710.000000002561,328.0064140679315,1622.4387245523976
1.941,-11710.000000002561,328.0064140679315,1463.3556137294509
1.941,-11710.000000002561,328.4272945909761,1463.3197088048328
1.456,-11710.000000002561,328.4272945909761,1304.0324709282092
1.456,-11710.000000002561,328.80028178729117,1303.9970893950667
0.97,-11710.000000002561,328.80028178729117,1144.200152446443
0.97,-11710.000000002561,329.1321630324237,1144.1635336109903
0.485,-11710.000000002561,329.1321630324237,984.5344345402648
0.485,-11710.000000002095,329.41532651288435,984.4984139982844
0.0,-11710.000000002095,329.41532651288435,824.7319806395354
0.0,-11710.000000003027,323.7541484814137,824.2091646643821
-0.5,-11710.000000003027,323.7541484814137,662.3320904236753
-0.5,-11710.000000003027,311.64163791993633,662.2676632064395
-1.0,-11710.000000003027,311.64163791993633,506.4468442464713
-1.0,-11710.000000003027,298.671788812615,506.3848383005243
-1.5,-11710.000000003027,298.671788812615,357.0489438942168
-1.5,-11710.000000002561,284.8675341825001,356.98913275508676
-2.0,-11710.000000002561,284.8675341825001,214.5553656638367
-2.0,-11710.00000000326,270.2636028639972,214.49871652503498
-2.5,-11710.00000000326,270.2636028639972,79.36691509303637
-2.5,-11710.000000002794,254.8773318263702,79.311848790152
-3.0,-11710.000000002794,254.8773318263702,-48.126817123033106
-3.0,-11710.000000002794,238.7336842813529,-48.1788463992998
-3.5,-11710.000000002794,238.7336842813529,-167.54568853997625
-3.5,-11710.000000002794,221.86926733655855,-167.5948501965031
-4.0,-11710.000000002794,221.86926733655855,-278.5294838647824
-4.0,-11710.000000003027,212.52380742598325,-277.88993766496424
-4.5,-11710.000000003027,212.52380742598325,-384.15184137795586
-4.5,-11710.000000002561,211.02820585342124,-384.18318188679405
-5.0,-11710.000000002561,211.02820585342124,-489.69728481350467
-5.0,-11710.000000002678,209.29045647569,-489.7289991682628
-5.5,-11710.000000002678,209.29045647569,-594.3742274061078
-5.5,-11710.000000002794,207.29213748057373,-594.406339612673
-6.0,-11710.000000002794,207.29213748057373,-698.0524083529599
-6.0,-11710.000000002794,205.01121054729447,-698.0854173646076
